fever,diarrhea,stomach pain,skin rash,cough,sniffles,short breath,headache,size,label
38.4,1,2,2,3,3,0,3,38.4,"['Respiratory', 'Cold', '']"
37.6,1,9,2,2,3,1,5,25.5,"['Gastrointestinal', 'Food Poisoning', '']"
36.6,0,3,3,4,3,0,3,36.1,"['Respiratory', 'Covid', '']"
42.6,0,2,2,3,4,1,8,30.8,"['Respiratory', 'Flu', '']"
39.8,1,10,1,3,2,0,9,36.6,"['Gastrointestinal', 'Norovirus', '']"
37.5,0,2,1,3,3,0,4,37.0,"['Respiratory', 'Cold', '']"
39.4,0,2,1,2,3,0,8,38.1,"['Respiratory', 'Flu', '']"
36.4,0,2,4,3,1,1,2,38.3,"['Allergy', 'External', 'Bee Allergy']"
41.7,0,3,1,3,5,0,7,31.5,"['Respiratory', 'Cold', '']"
41.1,1,2,1,3,5,0,8,29.2,"['Respiratory', 'Flu', '']"
39.2,0,8,4,2,2,0,7,39.0,"['Allergy', 'Food Allergy', 'Fish Allergy']"
37.8,0,2,1,3,5,0,3,31.2,"['Respiratory', 'Cold', '']"
37.2,0,3,1,4,3,0,5,26.7,"['Respiratory', 'Cold', '']"
37.6,0,2,5,2,1,0,3,37.2,"['Allergy', 'External', 'Pollen Allergy']"
37.9,1,5,3,1,1,0,3,44.1,"['Gastrointestinal', 'Food Poisoning', '']"
41.1,0,2,1,3,3,1,5,34.5,"['Respiratory', 'Flu', '']"
35.8,0,1,1,4,2,0,3,36.7,"['Respiratory', 'Cold', '']"
36.9,1,6,3,2,2,0,5,44.9,"['Allergy', 'Food Allergy', 'Fish Allergy']"
39.2,1,1,4,5,5,0,5,27.0,"['Allergy', 'External', 'Pollen Allergy']"
39.7,0,3,5,4,5,0,4,40.7,"['Allergy', 'External', 'Pollen Allergy']"
37.2,1,2,1,4,2,0,5,27.5,"['Respiratory', 'Flu', '']"
36.2,1,4,1,3,1,0,1,25.9,"['Allergy', 'Food Allergy', 'Milk Allergy']"
41.3,1,8,1,2,3,0,6,34.0,"['Gastrointestinal', 'Norovirus', '']"
40.7,1,1,1,3,4,1,7,36.2,"['Respiratory', 'Flu', '']"
39.2,0,2,2,4,3,0,3,38.2,"['Respiratory', 'Cold', '']"
35.8,0,2,5,3,3,0,3,33.4,"['Allergy', 'External', 'Pollen Allergy']"
37.4,0,1,1,4,3,0,2,30.5,"['Respiratory', 'Covid', '']"
34.9,0,1,3,3,2,0,2,30.3,"['Respiratory', 'Cold', '']"
36.4,0,2,3,3,1,1,3,30.7,"['Allergy', 'External', 'Bee Allergy']"
37.0,0,1,2,3,4,0,3,35.7,"['Respiratory', 'Cold', '']"
35.3,0,1,1,4,1,0,1,35.6,"['Respiratory', 'Cold', '']"
34.6,1,8,3,1,3,1,4,35.4,"['Allergy', 'Food Allergy', 'Milk Allergy']"
35.8,1,8,4,2,1,0,1,35.3,"['Allergy', 'Food Allergy', 'Milk Allergy']"
37.4,0,1,1,4,3,0,4,25.0,"['Respiratory', 'Flu', '']"
35.5,0,2,3,2,3,0,2,26.1,"['Respiratory', 'Cold', '']"
38.9,0,3,4,2,2,1,3,34.4,"['Allergy', 'External', 'Bee Allergy']"
36.8,1,4,3,1,3,0,1,25.0,"['Allergy', 'Food Allergy', 'Milk Allergy']"
38.0,0,6,1,1,2,0,4,28.7,"['Gastrointestinal', 'Food Poisoning', '']"
36.1,0,1,3,1,1,0,2,38.0,"['Allergy', 'External', 'Bee Allergy']"
38.7,1,1,1,4,2,0,4,33.0,"['Respiratory', 'Covid', '']"
38.9,0,6,1,1,3,0,5,41.6,"['Gastrointestinal', 'Norovirus', '']"
38.5,0,1,2,1,2,0,4,40.5,"['Respiratory', 'Flu', '']"
39.5,0,1,1,2,3,0,5,28.9,"['Respiratory', 'Flu', '']"
37.6,0,6,5,1,1,0,3,31.1,"['Allergy', 'Food Allergy', 'Milk Allergy']"
42.1,0,3,1,5,4,0,7,32.5,"['Respiratory', 'Cold', '']"
38.0,1,6,2,1,1,0,4,34.9,"['Gastrointestinal', 'Norovirus', '']"
36.3,0,1,1,1,3,0,1,37.5,"['Allergy', 'External', 'Pollen Allergy']"
38.7,0,1,4,2,4,0,2,29.3,"['Allergy', 'External', 'Pollen Allergy']"
37.7,0,2,1,4,4,0,4,28.6,"['Respiratory', 'Covid', '']"
41.8,0,2,1,5,5,1,5,31.2,"['Respiratory', 'Covid', '']"
40.6,1,5,1,1,3,0,8,31.9,"['Respiratory', 'Flu', '']"
35.9,1,4,1,1,3,0,3,39.7,"['Gastrointestinal', 'Food Poisoning', '']"
36.7,0,1,1,3,4,0,1,34.7,"['Respiratory', 'Cold', '']"
37.6,1,4,4,2,2,0,4,27.7,"['Allergy', 'Food Allergy', 'Milk Allergy']"
39.5,1,9,1,2,1,0,9,37.3,"['Gastrointestinal', 'Norovirus', '']"
41.1,1,1,2,5,3,1,5,42.8,"['Respiratory', 'Covid', '']"
38.4,0,3,1,2,2,0,2,33.3,"['Respiratory', 'Cold', '']"
41.6,1,1,2,4,5,1,7,25.0,"['Respiratory', 'Covid', '']"
39.1,0,1,2,4,3,0,6,45.0,"['Respiratory', 'Flu', '']"
38.6,0,3,5,3,3,1,2,26.6,"['Allergy', 'External', 'Bee Allergy']"
36.8,0,1,3,1,1,0,1,40.7,"['Allergy', 'External', 'Bee Allergy']"
38.8,1,8,1,1,1,0,6,33.4,"['Gastrointestinal', 'Norovirus', '']"
37.5,0,3,1,5,3,0,4,39.9,"['Respiratory', 'Cold', '']"
37.8,0,5,2,4,1,0,3,45.0,"['Respiratory', 'Covid', '']"
39.0,1,10,1,1,3,0,5,35.9,"['Gastrointestinal', 'Norovirus', '']"
39.6,0,4,1,4,4,0,4,36.6,"['Respiratory', 'Cold', '']"
40.1,1,1,1,3,3,0,6,28.8,"['Respiratory', 'Cold', '']"
37.6,0,1,1,5,1,0,5,32.5,"['Respiratory', 'Cold', '']"
39.1,0,3,5,3,2,0,3,38.0,"['Allergy', 'External', 'Plastic Allergy']"
38.0,0,1,4,1,2,1,1,31.9,"['Allergy', 'External', 'Bee Allergy']"
35.3,0,1,2,2,1,0,2,30.9,"['Respiratory', 'Covid', '']"
39.3,1,2,1,1,4,1,4,37.3,"['Respiratory', 'Flu', '']"
37.9,1,7,1,1,3,0,3,32.5,"['Gastrointestinal', 'Norovirus', '']"
37.6,0,9,5,2,4,0,2,41.3,"['Allergy', 'Food Allergy', 'Milk Allergy']"
41.1,0,2,3,5,2,0,5,35.8,"['Respiratory', 'Covid', '']"
39.5,0,1,4,4,5,0,5,30.2,"['Respiratory', 'Cold', '']"
36.9,0,2,1,2,3,0,3,28.9,"['Respiratory', 'Covid', '']"
41.7,0,2,1,3,4,1,5,32.3,"['Respiratory', 'Covid', '']"
35.6,1,8,5,2,2,0,1,32.6,"['Allergy', 'Food Allergy', 'Milk Allergy']"
38.4,0,1,5,4,1,0,6,42.2,"['Allergy', 'External', 'Plastic Allergy']"
36.9,0,1,4,1,2,1,1,38.7,"['Allergy', 'External', 'Bee Allergy']"
35.3,1,7,5,1,2,0,5,28.0,"['Allergy', 'Food Allergy', 'Fish Allergy']"
37.0,0,7,3,1,1,0,5,33.6,"['Allergy', 'Food Allergy', 'Fish Allergy']"
38.6,0,2,4,3,4,0,4,25.0,"['Allergy', 'External', 'Pollen Allergy']"
37.4,0,1,5,1,2,1,2,36.2,"['Allergy', 'External', 'Bee Allergy']"
37.4,1,7,4,2,2,0,6,40.8,"['Allergy', 'Food Allergy', 'Fish Allergy']"
36.3,0,6,3,1,1,0,4,37.5,"['Gastrointestinal', 'Norovirus', '']"
39.0,0,1,1,3,3,0,5,34.5,"['Respiratory', 'Cold', '']"
36.4,0,1,2,2,2,0,1,39.3,"['Allergy', 'External', 'Pollen Allergy']"
37.2,1,4,5,1,2,1,2,33.9,"['Allergy', 'External', 'Bee Allergy']"
37.5,1,3,2,1,2,0,1,31.9,"['Allergy', 'Food Allergy', 'Milk Allergy']"
38.9,0,2,4,2,1,0,2,41.4,"['Allergy', 'External', 'Bee Allergy']"
38.1,0,1,2,4,2,0,4,31.7,"['Respiratory', 'Flu', '']"
39.5,0,1,1,4,2,0,5,36.5,"['Respiratory', 'Cold', '']"
39.9,0,1,1,4,3,1,5,27.8,"['Respiratory', 'Covid', '']"
36.6,0,7,4,1,2,0,5,38.7,"['Allergy', 'Food Allergy', 'Fish Allergy']"
35.8,1,5,4,1,1,0,2,33.1,"['Gastrointestinal', 'Food Poisoning', '']"
34.9,1,6,5,1,2,0,2,35.6,"['Allergy', 'Food Allergy', 'Milk Allergy']"
37.2,0,1,1,3,4,0,7,44.6,"['Respiratory', 'Cold', '']"
39.0,1,8,1,2,3,0,7,45.0,"['Gastrointestinal', 'Norovirus', '']"
38.5,0,2,1,3,3,0,3,41.0,"['Respiratory', 'Covid', '']"
36.5,0,2,4,1,3,1,2,36.1,"['Allergy', 'External', 'Bee Allergy']"
37.1,0,7,4,3,2,0,6,43.7,"['Allergy', 'Food Allergy', 'Fish Allergy']"
40.3,0,1,2,5,4,1,7,42.1,"['Respiratory', 'Covid', '']"
37.7,1,7,3,1,1,0,2,30.9,"['Allergy', 'Food Allergy', 'Milk Allergy']"
38.2,1,2,3,2,2,0,1,33.2,"['Allergy', 'Food Allergy', 'Milk Allergy']"
40.4,1,2,1,4,5,1,7,34.2,"['Respiratory', 'Flu', '']"
41.1,0,1,1,4,5,0,6,35.2,"['Respiratory', 'Flu', '']"
37.1,0,1,1,2,1,0,2,35.8,"['Allergy', 'External', 'Pollen Allergy']"
39.3,1,1,1,4,2,1,5,31.1,"['Respiratory', 'Covid', '']"
38.3,0,3,5,2,1,1,4,31.6,"['Allergy', 'External', 'Bee Allergy']"
39.1,0,1,1,2,2,0,3,27.5,"['Respiratory', 'Flu', '']"
38.8,1,8,3,2,1,0,6,42.2,"['Gastrointestinal', 'Norovirus', '']"
42.2,0,1,3,2,3,1,7,34.5,"['Respiratory', 'Flu', '']"
37.3,0,1,2,2,1,0,1,25.0,"['Respiratory', 'Flu', '']"
39.2,1,9,2,2,1,0,5,35.4,"['Gastrointestinal', 'Norovirus', '']"
36.7,0,9,5,2,1,1,4,36.8,"['Allergy', 'Food Allergy', 'Milk Allergy']"
42.0,0,2,1,3,2,0,8,29.8,"['Respiratory', 'Flu', '']"
35.7,1,5,4,2,2,0,2,27.8,"['Allergy', 'Food Allergy', 'Fish Allergy']"
40.7,0,2,3,2,2,0,5,34.3,"['Allergy', 'External', 'Pollen Allergy']"
35.9,1,3,2,1,1,0,2,29.2,"['Allergy', 'Food Allergy', 'Milk Allergy']"
38.4,1,10,2,1,2,0,5,35.9,"['Gastrointestinal', 'Norovirus', '']"
38.6,0,2,1,4,4,0,7,39.6,"['Respiratory', 'Cold', '']"
40.2,0,1,1,3,5,0,7,35.1,"['Respiratory', 'Cold', '']"
38.9,0,1,2,4,5,0,3,39.7,"['Allergy', 'External', 'Pollen Allergy']"
34.8,1,9,5,1,3,1,4,37.2,"['Allergy', 'Food Allergy', 'Milk Allergy']"
37.6,0,3,1,2,4,0,6,38.4,"['Respiratory', 'Cold', '']"
37.9,0,1,2,3,4,0,4,37.6,"['Respiratory', 'Cold', '']"
38.7,0,1,1,1,3,0,4,30.0,"['Respiratory', 'Cold', '']"
38.1,0,6,1,1,2,0,4,38.7,"['Gastrointestinal', 'Norovirus', '']"
41.4,1,1,5,1,1,0,2,26.4,"['Allergy', 'External', 'Plastic Allergy']"
38.1,1,8,4,2,1,0,8,41.9,"['Allergy', 'Food Allergy', 'Fish Allergy']"
36.8,0,1,1,4,4,0,4,41.9,"['Respiratory', 'Cold', '']"
38.4,1,1,2,4,2,0,3,41.4,"['Respiratory', 'Covid', '']"
39.1,0,1,3,3,2,1,3,33.1,"['Allergy', 'External', 'Pollen Allergy']"
36.1,0,2,2,3,1,0,2,27.6,"['Respiratory', 'Cold', '']"
38.0,0,1,2,2,3,1,3,36.1,"['Respiratory', 'Flu', '']"
39.6,1,6,4,1,1,0,2,40.8,"['Gastrointestinal', 'Food Poisoning', '']"
39.5,0,3,2,4,4,0,4,32.6,"['Respiratory', 'Cold', '']"
38.5,1,7,1,1,3,0,4,42.4,"['Gastrointestinal', 'Norovirus', '']"
39.7,0,1,2,2,3,0,4,33.8,"['Respiratory', 'Flu', '']"
38.4,1,9,2,1,1,1,3,36.2,"['Gastrointestinal', 'Food Poisoning', '']"
39.8,0,1,4,1,2,0,1,45.0,"['Allergy', 'External', 'Pollen Allergy']"
39.7,0,1,4,1,3,1,2,34.9,"['Allergy', 'External', 'Bee Allergy']"
36.3,0,2,3,1,3,0,2,39.5,"['Allergy', 'External', 'Pollen Allergy']"
37.0,0,1,2,3,1,0,1,28.7,"['Respiratory', 'Cold', '']"
37.3,0,1,1,5,4,0,3,36.7,"['Respiratory', 'Cold', '']"
36.4,1,4,2,2,3,0,2,34.1,"['Gastrointestinal', 'Food Poisoning', '']"
39.3,0,2,1,5,4,0,6,36.6,"['Respiratory', 'Cold', '']"
38.0,0,4,1,2,3,0,4,29.6,"['Respiratory', 'Flu', '']"
37.5,1,1,3,3,3,0,4,27.9,"['Allergy', 'External', 'Pollen Allergy']"
38.1,0,1,3,1,4,0,2,34.8,"['Allergy', 'External', 'Pollen Allergy']"
35.9,0,2,2,5,4,0,3,38.3,"['Respiratory', 'Cold', '']"
40.4,0,1,1,1,4,0,5,36.2,"['Respiratory', 'Flu', '']"
37.9,0,2,4,3,1,1,2,26.3,"['Allergy', 'External', 'Bee Allergy']"
39.0,0,3,3,3,4,0,5,41.2,"['Respiratory', 'Cold', '']"
37.1,0,1,2,2,1,0,3,40.8,"['Respiratory', 'Covid', '']"
38.1,0,2,3,4,3,0,4,40.0,"['Allergy', 'External', 'Pollen Allergy']"
40.2,0,1,2,4,3,0,6,32.6,"['Respiratory', 'Covid', '']"
37.4,0,2,2,1,1,0,3,36.6,"['Respiratory', 'Flu', '']"
41.1,1,9,2,1,1,0,9,29.6,"['Gastrointestinal', 'Norovirus', '']"
36.2,0,1,1,2,3,0,1,25.0,"['Respiratory', 'Cold', '']"
36.5,0,2,1,3,3,0,3,31.2,"['Respiratory', 'Flu', '']"
38.4,1,8,2,1,1,0,3,32.0,"['Gastrointestinal', 'Norovirus', '']"
37.3,0,3,3,2,3,0,2,44.0,"['Allergy', 'External', 'Plastic Allergy']"
37.6,0,4,5,1,1,0,5,40.8,"['Allergy', 'External', 'Plastic Allergy']"
35.1,1,6,2,1,1,0,4,29.7,"['Gastrointestinal', 'Food Poisoning', '']"
37.7,0,1,1,3,4,0,3,42.0,"['Respiratory', 'Covid', '']"
37.9,0,2,1,3,3,0,5,32.7,"['Respiratory', 'Cold', '']"
37.2,1,6,4,2,1,0,3,31.6,"['Allergy', 'Food Allergy', 'Milk Allergy']"
36.8,0,9,3,1,1,0,2,30.3,"['Allergy', 'Food Allergy', 'Milk Allergy']"
37.2,0,2,3,1,3,0,2,43.5,"['Allergy', 'External', 'Pollen Allergy']"
40.0,0,2,1,4,2,1,2,33.1,"['Respiratory', 'Covid', '']"
38.0,0,1,5,1,1,0,4,36.4,"['Allergy', 'External', 'Bee Allergy']"
40.0,0,1,4,1,2,0,1,32.1,"['Allergy', 'External', 'Plastic Allergy']"
37.0,0,1,1,3,5,0,4,43.2,"['Respiratory', 'Cold', '']"
39.6,0,1,5,1,3,1,4,36.5,"['Allergy', 'External', 'Plastic Allergy']"
40.5,1,2,1,2,2,1,5,35.3,"['Respiratory', 'Flu', '']"
37.3,0,1,1,4,1,0,2,39.3,"['Respiratory', 'Flu', '']"
39.7,1,2,2,3,5,0,8,38.1,"['Respiratory', 'Cold', '']"
38.7,0,2,5,2,2,0,5,40.6,"['Allergy', 'External', 'Plastic Allergy']"
38.3,0,3,5,3,1,0,2,36.5,"['Allergy', 'External', 'Plastic Allergy']"
39.2,1,9,1,1,1,0,4,43.3,"['Gastrointestinal', 'Norovirus', '']"
39.9,0,1,2,4,5,0,7,39.9,"['Respiratory', 'Cold', '']"
36.7,0,1,1,2,4,0,3,41.8,"['Respiratory', 'Cold', '']"
35.0,0,4,2,2,4,0,3,43.2,"['Gastrointestinal', 'Food Poisoning', '']"
36.6,1,6,2,1,2,0,4,27.1,"['Gastrointestinal', 'Norovirus', '']"
39.3,0,2,1,5,2,0,6,37.9,"['Respiratory', 'Flu', '']"
38.2,0,1,1,2,2,1,1,35.8,"['Allergy', 'External', 'Pollen Allergy']"
37.4,1,7,5,2,1,0,4,30.2,"['Allergy', 'Food Allergy', 'Milk Allergy']"
39.6,0,1,2,4,5,0,4,43.1,"['Respiratory', 'Cold', '']"
39.1,0,4,4,2,2,0,1,43.8,"['Allergy', 'External', 'Plastic Allergy']"
36.3,0,2,1,3,3,0,2,30.0,"['Respiratory', 'Covid', '']"
38.2,0,2,3,5,3,0,3,40.4,"['Respiratory', 'Cold', '']"
39.2,0,3,2,2,2,0,3,41.0,"['Respiratory', 'Flu', '']"
39.9,1,8,2,1,1,0,7,39.9,"['Gastrointestinal', 'Norovirus', '']"
39.2,1,10,1,3,1,0,6,30.5,"['Gastrointestinal', 'Norovirus', '']"
37.2,1,2,1,3,2,0,2,27.6,"['Respiratory', 'Covid', '']"
36.1,0,2,2,2,1,0,3,36.9,"['Respiratory', 'Flu', '']"
36.7,0,1,1,3,2,0,1,32.6,"['Respiratory', 'Cold', '']"
36.3,0,1,2,3,5,0,2,32.6,"['Respiratory', 'Cold', '']"
40.5,1,8,1,3,2,0,7,31.4,"['Gastrointestinal', 'Norovirus', '']"
38.9,1,10,1,1,3,0,7,42.8,"['Gastrointestinal', 'Norovirus', '']"
38.3,1,9,5,3,2,0,7,28.8,"['Allergy', 'Food Allergy', 'Fish Allergy']"
38.1,0,1,5,1,3,1,3,37.5,"['Allergy', 'External', 'Bee Allergy']"
39.3,0,1,2,4,2,0,3,34.1,"['Respiratory', 'Covid', '']"
37.9,1,3,4,4,5,0,3,29.7,"['Allergy', 'External', 'Pollen Allergy']"
39.1,0,2,5,4,5,0,4,37.6,"['Allergy', 'External', 'Pollen Allergy']"
38.6,0,2,2,5,2,0,3,33.7,"['Respiratory', 'Covid', '']"
36.4,0,1,1,5,4,0,3,34.5,"['Respiratory', 'Cold', '']"
39.7,1,9,3,3,3,0,7,42.1,"['Gastrointestinal', 'Norovirus', '']"
38.0,0,3,1,3,5,1,4,35.5,"['Allergy', 'External', 'Pollen Allergy']"
39.6,0,2,4,3,2,0,4,33.9,"['Allergy', 'External', 'Plastic Allergy']"
36.5,0,3,4,2,2,1,5,34.8,"['Allergy', 'External', 'Bee Allergy']"
37.8,0,2,2,3,3,0,4,32.5,"['Respiratory', 'Cold', '']"
39.1,1,8,1,1,1,0,5,32.7,"['Gastrointestinal', 'Norovirus', '']"
40.2,0,1,1,3,3,1,7,30.3,"['Respiratory', 'Flu', '']"
39.3,0,1,4,2,3,0,3,38.9,"['Allergy', 'External', 'Pollen Allergy']"
36.1,0,1,1,4,3,0,2,36.3,"['Respiratory', 'Cold', '']"
38.3,1,2,1,4,2,0,6,28.7,"['Respiratory', 'Covid', '']"
41.2,1,2,2,3,3,0,8,33.1,"['Respiratory', 'Flu', '']"
35.8,1,8,4,1,2,0,2,39.7,"['Allergy', 'Food Allergy', 'Milk Allergy']"
39.6,0,1,2,4,1,0,4,25.0,"['Respiratory', 'Covid', '']"
37.5,0,1,1,3,2,0,3,33.3,"['Respiratory', 'Flu', '']"
39.1,0,2,1,2,3,0,5,41.7,"['Respiratory', 'Flu', '']"
38.3,0,1,2,2,2,0,3,40.0,"['Respiratory', 'Cold', '']"
37.5,0,3,1,2,2,0,4,37.3,"['Respiratory', 'Flu', '']"
35.3,0,2,1,4,3,0,5,37.5,"['Respiratory', 'Covid', '']"
36.5,1,1,1,4,2,1,4,33.5,"['Respiratory', 'Covid', '']"
37.7,0,3,5,1,1,1,3,38.2,"['Allergy', 'External', 'Bee Allergy']"
37.9,0,1,5,4,5,1,5,36.9,"['Allergy', 'External', 'Pollen Allergy']"
37.9,0,1,2,1,2,0,3,40.9,"['Allergy', 'External', 'Pollen Allergy']"
39.3,0,1,3,3,2,0,4,39.9,"['Allergy', 'External', 'Pollen Allergy']"
37.6,0,3,4,2,2,0,2,39.1,"['Allergy', 'External', 'Plastic Allergy']"
39.4,0,2,1,3,3,0,4,33.0,"['Respiratory', 'Cold', '']"
41.9,1,2,1,5,3,1,3,41.2,"['Respiratory', 'Covid', '']"
38.0,0,2,1,3,2,0,4,28.3,"['Respiratory', 'Cold', '']"
38.4,0,1,1,1,2,0,6,34.6,"['Respiratory', 'Flu', '']"
39.1,0,9,1,1,3,0,6,33.0,"['Gastrointestinal', 'Norovirus', '']"
39.5,0,3,3,2,1,0,2,29.0,"['Allergy', 'External', 'Plastic Allergy']"
41.5,0,2,1,5,4,0,6,45.0,"['Respiratory', 'Flu', '']"
39.9,0,1,1,1,4,1,5,40.0,"['Respiratory', 'Flu', '']"
39.4,0,4,3,1,2,0,4,40.5,"['Allergy', 'External', 'Plastic Allergy']"
39.0,0,2,3,4,2,1,2,31.9,"['Allergy', 'External', 'Bee Allergy']"
36.7,1,3,1,2,1,0,2,45.0,"['Gastrointestinal', 'Food Poisoning', '']"
37.3,0,6,5,1,1,0,7,44.8,"['Allergy', 'Food Allergy', 'Fish Allergy']"
41.0,0,1,1,5,2,1,7,43.4,"['Respiratory', 'Covid', '']"
39.7,0,1,1,2,5,1,5,40.9,"['Respiratory', 'Flu', '']"
38.4,0,1,4,3,5,1,3,35.7,"['Allergy', 'External', 'Pollen Allergy']"
37.2,1,1,1,4,2,0,4,34.3,"['Respiratory', 'Covid', '']"
38.6,0,2,2,2,1,0,4,32.6,"['Respiratory', 'Flu', '']"
37.5,0,2,2,5,4,0,3,31.6,"['Respiratory', 'Cold', '']"
36.3,1,6,5,2,1,0,2,32.2,"['Allergy', 'Food Allergy', 'Milk Allergy']"
36.1,0,6,4,2,2,0,2,41.3,"['Allergy', 'Food Allergy', 'Milk Allergy']"
38.1,0,2,5,3,2,1,1,28.7,"['Allergy', 'External', 'Bee Allergy']"
39.7,0,1,1,1,3,0,5,29.8,"['Respiratory', 'Cold', '']"
38.9,0,2,1,3,4,0,6,33.2,"['Respiratory', 'Flu', '']"
37.7,1,7,5,1,1,1,3,30.7,"['Allergy', 'Food Allergy', 'Milk Allergy']"
37.4,0,1,2,2,3,0,5,43.2,"['Allergy', 'External', 'Pollen Allergy']"
38.1,0,1,3,5,5,0,6,31.0,"['Respiratory', 'Cold', '']"
38.2,0,1,1,2,4,0,6,31.0,"['Respiratory', 'Cold', '']"
36.7,1,6,2,3,1,0,3,33.0,"['Gastrointestinal', 'Food Poisoning', '']"
39.8,0,3,1,4,4,0,3,43.2,"['Respiratory', 'Cold', '']"
36.7,0,1,1,2,3,0,2,31.0,"['Respiratory', 'Cold', '']"
35.4,0,1,1,3,3,0,1,33.6,"['Respiratory', 'Cold', '']"
37.4,0,1,1,5,5,0,4,32.2,"['Respiratory', 'Cold', '']"
37.1,0,3,2,2,4,0,3,31.7,"['Respiratory', 'Cold', '']"
37.5,0,7,1,1,2,0,5,38.1,"['Gastrointestinal', 'Norovirus', '']"
37.3,1,1,3,4,4,0,4,26.3,"['Respiratory', 'Cold', '']"
37.1,0,2,1,3,3,0,2,40.5,"['Allergy', 'External', 'Pollen Allergy']"
36.3,1,8,5,2,2,0,2,31.0,"['Allergy', 'Food Allergy', 'Milk Allergy']"
38.2,1,2,3,3,2,0,7,33.0,"['Respiratory', 'Cold', '']"
36.9,1,6,1,1,1,0,2,37.2,"['Gastrointestinal', 'Norovirus', '']"
38.8,0,2,2,5,5,0,4,30.7,"['Respiratory', 'Cold', '']"
41.4,0,2,1,2,1,0,8,45.0,"['Respiratory', 'Flu', '']"
38.4,1,8,2,1,1,0,7,32.3,"['Gastrointestinal', 'Norovirus', '']"
36.1,0,1,1,5,2,0,2,28.2,"['Respiratory', 'Cold', '']"
41.2,1,2,1,3,1,1,5,27.9,"['Respiratory', 'Flu', '']"
39.1,0,1,1,2,2,0,8,36.7,"['Respiratory', 'Flu', '']"
37.3,0,2,3,3,5,0,2,38.6,"['Allergy', 'External', 'Pollen Allergy']"
37.5,0,8,1,2,1,0,6,38.1,"['Gastrointestinal', 'Norovirus', '']"
37.8,0,2,2,4,3,0,5,31.8,"['Respiratory', 'Cold', '']"
39.5,0,1,1,3,3,0,5,44.3,"['Respiratory', 'Flu', '']"
35.4,1,8,4,3,1,0,8,36.2,"['Allergy', 'Food Allergy', 'Fish Allergy']"
40.9,1,1,1,4,4,1,7,34.0,"['Respiratory', 'Flu', '']"
35.8,0,1,1,2,4,0,4,45.0,"['Respiratory', 'Cold', '']"
40.6,1,10,1,2,2,0,5,42.4,"['Gastrointestinal', 'Norovirus', '']"
36.5,0,2,2,2,3,0,1,36.6,"['Respiratory', 'Cold', '']"
36.5,0,1,1,1,1,0,3,29.3,"['Respiratory', 'Flu', '']"
39.5,1,8,1,1,1,0,5,39.2,"['Gastrointestinal', 'Norovirus', '']"
